id,lbl,definition
GO:0034310,primary alcohol catabolic process,"The chemical reactions and pathways resulting in the breakdown of primary alcohols. A primary alcohol is any alcohol in which a hydroxy group, -OH, is attached to a saturated carbon atom which has either three hydrogen atoms attached to it or only one other carbon atom and two hydrogen atoms attached to it."
GO:0009395,phospholipid catabolic process,"The chemical reactions and pathways resulting in the breakdown of phospholipids, any lipid containing phosphoric acid as a mono- or diester."
GO:0005987,sucrose catabolic process,"The chemical reactions and pathways resulting in the breakdown of sucrose, the disaccharide fructofuranosyl-glucopyranoside."
GO:0005993,trehalose catabolic process,"The chemical reactions and pathways resulting in the breakdown of trehalose, a disaccharide that consists of two molecules of glucose and is isomeric with sucrose."
GO:0006001,fructose catabolic process,"The chemical reactions and pathways resulting in the breakdown of fructose, the ketohexose arabino-2-hexulose."
GO:0045493,xylan catabolic process,"The chemical reactions and pathways resulting in the breakdown of xylan, a polymer containing a beta-1,4-linked D-xylose backbone."
GO:0060918,auxin transport,"The directed movement of auxin into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Auxins are a group of plant hormones that regulates aspects of plant growth."
GO:0009733,response to auxin,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an auxin stimulus."
GO:0009850,auxin metabolic process,"The chemical reactions and pathways involving auxins, a group of plant hormones that regulate aspects of plant growth."
GO:0009852,auxin catabolic process,"The chemical reactions and pathways resulting in the breakdown of auxins, a group of plant hormones that regulate aspects of plant growth."
GO:0009739,response to gibberellin,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a gibberellin stimulus."
GO:0009685,gibberellin metabolic process,"The chemical reactions and pathways involving gibberellin. Gibberellins are a class of highly modified terpenes that function as plant growth regulators."
GO:0045487,gibberellin catabolic process,"The chemical reactions and pathways resulting in the breakdown of gibberellin. Gibberellins are a class of highly modified terpenes that function as plant growth regulators."
